cvemun_char,municipio,mujeres
1,Acatic,2
2,Acatlán de Juárez,2
3,Ahualulco de Mercado,1
4,Amacueca,0
5,Amatitán,0
6,Ameca,4
7,San Juanito de Escobedo,0
8,Arandas,3
9,El Arenal,4
10,Atemajac de Brizuela,0
11,Atengo,0
12,Atenguillo,0
13,Atotonilco el Alto,10
14,Atoyac,2
15,Autlán de Navarro,7
16,Ayotlán,10
17,Ayutla,3
18,La Barca,15
19,Bolaños,0
20,Cabo Corrientes,2
21,Casimiro Castillo,3
22,Cihuatlán,9
23,Zapotlán el Grande,17
24,Cocula,2
25,Colotlán,7
26,Concepción de Buenos Aires,0
27,Cuautitlán de García Barragán,0
28,Cuautla,0
29,Cuquío,1
30,Chapala,16
31,Chimaltitán,0
32,Chiquilistlán,0
33,Degollado,4
34,Ejutla,0
35,Encarnación de Díaz,29
36,Etzatlán,4
37,El Grullo,5
38,Guachinango,0
39,Guadalajara,266
40,Hostotipaquillo,0
41,Huejúcar,0
42,Huejuquilla el Alto,5
43,La Huerta,5
44,Ixtlahuacán de los Membrillos,12
45,Ixtlahuacán del Río,1
46,Jalostotitlán,2
47,Jamay,0
48,Jesús María,1
49,Jilotlán de los Dolores,0
50,Jocotepec,8
51,Juanacatlán,2
52,Juchitlán,1
53,Lagos de Moreno,69
54,El Limón,2
55,Magdalena,1
56,Santa María del Oro,0
57,La Manzanilla de la Paz,0
58,Mascota,1
59,Mazamitla,1
60,Mexticacán,0
61,Mezquitic,2
62,Mixtlán,1
63,Ocotlán,6
64,Ojuelos de Jalisco,9
65,Pihuamo,3
66,Poncitlán,2
67,Puerto Vallarta,26
68,Villa Purificación,3
69,Quitupan,1
70,El Salto,64
71,San Cristóbal de la Barranca,0
72,San Diego de Alejandría,2
73,San Juan de los Lagos,8
74,San Julián,3
75,San Marcos,0
76,San Martín de Bolaños,1
77,San Martín Hidalgo,1
78,San Miguel el Alto,3
79,Gómez Farías,1
80,San Sebastián del Oeste,2
81,Santa María de los Ángeles,0
82,Sayula,8
83,Tala,17
84,Talpa de Allende,0
85,Tamazula de Gordiano,4
86,Tapalpa,1
87,Tecalitlán,5
88,Tecolotlán,3
89,Techaluta de Montenegro,3
90,Tenamaxtlán,2
91,Teocaltiche,9
92,Teocuitatlán de Corona,0
93,Tepatitlán de Morelos,14
94,Tequila,3
95,Teuchitlán,0
96,Tizapán el Alto,2
97,Tlajomulco de Zúñiga,171
98,San Pedro Tlaquepaque,109
99,Tolimán,0
100,Tomatlán,3
101,Tonalá,54
102,Tonaya,0
103,Tonila,2
104,Totatiche,1
105,Tototlán,0
106,Tuxcacuesco,0
107,Tuxcueca,0
108,Tuxpan,3
109,Unión de San Antonio,1
110,Unión de Tula,3
111,Valle de Guadalupe,0
112,Valle de Juárez,0
113,San Gabriel,4
114,Villa Corona,6
115,Villa Guerrero,0
116,Villa Hidalgo,0
117,Cañadas de Obregón,0
118,Yahualica de González Gallo,3
119,Zacoalco de Torres,0
120,Zapopan,208
121,Zapotiltic,6
122,Zapotitlán de Vadillo,0
123,Zapotlán del Rey,0
124,Zapotlanejo,3
125,San Ignacio Cerro Gordo,0
