cvemun_char,municipio,hombres
1,Acatic,21
2,Acatlán de Juárez,38
3,Ahualulco de Mercado,22
4,Amacueca,2
5,Amatitán,11
6,Ameca,69
7,San Juanito de Escobedo,11
8,Arandas,147
9,El Arenal,51
10,Atemajac de Brizuela,3
11,Atengo,7
12,Atenguillo,1
13,Atotonilco el Alto,140
14,Atoyac,3
15,Autlán de Navarro,89
16,Ayotlán,54
17,Ayutla,20
18,La Barca,146
19,Bolaños,0
20,Cabo Corrientes,16
21,Casimiro Castillo,48
22,Cihuatlán,86
23,Zapotlán el Grande,109
24,Cocula,35
25,Colotlán,42
26,Concepción de Buenos Aires,7
27,Cuautitlán de García Barragán,20
28,Cuautla,3
29,Cuquío,6
30,Chapala,93
31,Chimaltitán,8
32,Chiquilistlán,3
33,Degollado,17
34,Ejutla,2
35,Encarnación de Díaz,201
36,Etzatlán,24
37,El Grullo,29
38,Guachinango,2
39,Guadalajara,1850
40,Hostotipaquillo,5
41,Huejúcar,21
42,Huejuquilla el Alto,24
43,La Huerta,63
44,Ixtlahuacán de los Membrillos,112
45,Ixtlahuacán del Río,22
46,Jalostotitlán,57
47,Jamay,17
48,Jesús María,18
49,Jilotlán de los Dolores,7
50,Jocotepec,80
51,Juanacatlán,30
52,Juchitlán,11
53,Lagos de Moreno,464
54,El Limón,3
55,Magdalena,32
56,Santa María del Oro,10
57,La Manzanilla de la Paz,9
58,Mascota,5
59,Mazamitla,43
60,Mexticacán,3
61,Mezquitic,3
62,Mixtlán,8
63,Ocotlán,78
64,Ojuelos de Jalisco,37
65,Pihuamo,19
66,Poncitlán,41
67,Puerto Vallarta,389
68,Villa Purificación,15
69,Quitupan,16
70,El Salto,385
71,San Cristóbal de la Barranca,3
72,San Diego de Alejandría,6
73,San Juan de los Lagos,132
74,San Julián,23
75,San Marcos,2
76,San Martín de Bolaños,17
77,San Martín Hidalgo,16
78,San Miguel el Alto,95
79,Gómez Farías,7
80,San Sebastián del Oeste,13
81,Santa María de los Ángeles,3
82,Sayula,43
83,Tala,246
84,Talpa de Allende,20
85,Tamazula de Gordiano,31
86,Tapalpa,25
87,Tecalitlán,23
88,Tecolotlán,29
89,Techaluta de Montenegro,4
90,Tenamaxtlán,6
91,Teocaltiche,37
92,Teocuitatlán de Corona,2
93,Tepatitlán de Morelos,218
94,Tequila,53
95,Teuchitlán,11
96,Tizapán el Alto,17
97,Tlajomulco de Zúñiga,1075
98,San Pedro Tlaquepaque,888
99,Tolimán,7
100,Tomatlán,77
101,Tonalá,470
102,Tonaya,5
103,Tonila,18
104,Totatiche,3
105,Tototlán,7
106,Tuxcacuesco,23
107,Tuxcueca,8
108,Tuxpan,28
109,Unión de San Antonio,17
110,Unión de Tula,22
111,Valle de Guadalupe,6
112,Valle de Juárez,16
113,San Gabriel,47
114,Villa Corona,17
115,Villa Guerrero,9
116,Villa Hidalgo,5
117,Cañadas de Obregón,4
118,Yahualica de González Gallo,29
119,Zacoalco de Torres,17
120,Zapopan,1910
121,Zapotiltic,24
122,Zapotitlán de Vadillo,11
123,Zapotlán del Rey,4
124,Zapotlanejo,44
125,San Ignacio Cerro Gordo,23
