anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,mujeres_reporte,hombres_reporte,no_especificado_reporte
1995,0.0,1.0,,0.0,0.0,
1997,0.0,1.0,,0.0,0.0,
1998,0.0,0.0,,0.0,0.0,
1999,0.0,1.0,,0.0,0.0,
2000,0.0,1.0,,0.0,0.0,
2001,2.0,7.0,,0.0,0.0,
2002,6.0,20.0,,0.0,0.0,
2003,6.0,27.0,,0.0,0.0,
2004,8.0,24.0,,0.0,0.0,
2005,10.0,23.0,,0.0,0.0,
2006,6.0,23.0,,0.0,0.0,
2007,4.0,22.0,,0.0,0.0,
2008,8.0,57.0,,0.0,0.0,
2009,6.0,67.0,,0.0,0.0,
2010,12.0,136.0,,0.0,0.0,
2011,38.0,264.0,,0.0,0.0,
2012,48.0,318.0,,0.0,0.0,
2013,63.0,481.0,,0.0,0.0,
2014,50.0,457.0,,0.0,0.0,
2015,49.0,478.0,,0.0,0.0,
2016,66.0,587.0,,0.0,0.0,
2017,95.0,856.0,,0.0,0.0,
2018,111.0,1193.0,,62.0,48.0,
2019,155.0,1521.0,,3.0,15.0,
2020,139.0,1169.0,,54.0,200.0,
2021,147.0,1078.0,,106.0,328.0,
2022,115.0,1263.0,,96.0,261.0,
2023,144.0,1391.0,,77.0,310.0,
2024,28.0,117.0,,10.0,18.0,
NO DISPONIBLE,0.0,0.0,,0.0,0.0,
,,,,,,
