cvemun_char,municipio,total
1,Acatic,22
2,Acatlán de Juárez,38
3,Ahualulco de Mercado,24
4,Amacueca,2
5,Amatitán,10
6,Ameca,73
7,San Juanito de Escobedo,11
8,Arandas,149
9,El Arenal,53
10,Atemajac de Brizuela,3
11,Atengo,7
12,Atenguillo,1
13,Atotonilco el Alto,151
14,Atoyac,6
15,Autlán de Navarro,97
16,Ayotlán,65
17,Ayutla,24
18,La Barca,163
19,Bolaños,0
20,Cabo Corrientes,16
21,Casimiro Castillo,51
22,Cihuatlán,96
23,Zapotlán el Grande,127
24,Cocula,38
25,Colotlán,48
26,Concepción de Buenos Aires,7
27,Cuautitlán de García Barragán,16
28,Cuautla,3
29,Cuquío,5
30,Chapala,102
31,Chimaltitán,8
32,Chiquilistlán,3
33,Degollado,21
34,Ejutla,2
35,Encarnación de Díaz,231
36,Etzatlán,26
37,El Grullo,34
38,Guachinango,2
39,Guadalajara,2079
40,Hostotipaquillo,5
41,Huejúcar,21
42,Huejuquilla el Alto,29
43,La Huerta,67
44,Ixtlahuacán de los Membrillos,129
45,Ixtlahuacán del Río,23
46,Jalostotitlán,59
47,Jamay,17
48,Jesús María,21
49,Jilotlán de los Dolores,7
50,Jocotepec,89
51,Juanacatlán,29
52,Juchitlán,12
53,Lagos de Moreno,533
54,El Limón,5
55,Magdalena,32
56,Santa María del Oro,10
57,La Manzanilla de la Paz,9
58,Mascota,6
59,Mazamitla,46
60,Mexticacán,3
61,Mezquitic,6
62,Mixtlán,9
63,Ocotlán,82
64,Ojuelos de Jalisco,46
65,Pihuamo,22
66,Poncitlán,43
67,Puerto Vallarta,420
68,Villa Purificación,18
69,Quitupan,15
70,El Salto,448
71,San Cristóbal de la Barranca,3
72,San Diego de Alejandría,6
73,San Juan de los Lagos,147
74,San Julián,24
75,San Marcos,2
76,San Martín de Bolaños,18
77,San Martín Hidalgo,19
78,San Miguel el Alto,98
79,Gómez Farías,8
80,San Sebastián del Oeste,15
81,Santa María de los Ángeles,3
82,Sayula,54
83,Tala,266
84,Talpa de Allende,20
85,Tamazula de Gordiano,34
86,Tapalpa,25
87,Tecalitlán,28
88,Tecolotlán,32
89,Techaluta de Montenegro,7
90,Tenamaxtlán,8
91,Teocaltiche,48
92,Teocuitatlán de Corona,2
93,Tepatitlán de Morelos,234
94,Tequila,58
95,Teuchitlán,12
96,Tizapán el Alto,19
97,Tlajomulco de Zúñiga,1261
98,San Pedro Tlaquepaque,1033
99,Tolimán,7
100,Tomatlán,85
101,Tonalá,531
102,Tonaya,5
103,Tonila,20
104,Totatiche,4
105,Tototlán,8
106,Tuxcacuesco,22
107,Tuxcueca,8
108,Tuxpan,32
109,Unión de San Antonio,19
110,Unión de Tula,24
111,Valle de Guadalupe,6
112,Valle de Juárez,18
113,San Gabriel,52
114,Villa Corona,24
115,Villa Guerrero,9
116,Villa Hidalgo,6
117,Cañadas de Obregón,4
118,Yahualica de González Gallo,31
119,Zacoalco de Torres,19
120,Zapopan,2217
121,Zapotiltic,30
122,Zapotitlán de Vadillo,11
123,Zapotlán del Rey,5
124,Zapotlanejo,48
125,San Ignacio Cerro Gordo,23
