id_denuncia,anio,mujeres_denuncia,hombres_denuncia,no_especificado_denuncia,id_reporte,mujeres_reporte,hombres_reporte,no_especificado_reporte
1,1995,0,1,True,1,0,0,
2,1997,0,1,,2,0,0,
3,1998,0,1,,3,0,0,
4,1999,0,1,,4,0,0,
5,2000,0,1,,5,0,0,
6,2001,3,7,,6,0,0,
7,2002,6,20,,7,0,0,
8,2003,7,27,,8,0,0,
9,2004,10,24,,9,0,0,
10,2005,11,23,,10,0,0,
11,2006,7,23,,11,0,0,
12,2007,3,23,,12,0,0,
13,2008,8,59,,13,0,0,
14,2009,7,70,,14,0,0,
15,2010,13,131,,15,0,0,
16,2011,38,276,,16,0,0,
17,2012,50,320,,17,0,0,
18,2013,68,486,,18,0,0,
19,2014,53,462,,19,0,0,
20,2015,50,481,,20,0,0,
21,2016,67,593,,21,0,0,
22,2017,96,863,,22,0,0,
23,2018,110,1211,,23,67,53,
24,2019,162,1546,,24,4,18,
25,2020,148,1197,,25,55,207,
26,2021,153,1101,,26,111,337,
27,2022,130,1308,,27,98,268,
28,2023,131,1069,,28,66,241,
29,NO DISPONIBLE,0,0,,29,0,0,
