"cvemun_char","nombre"
1,"Acatic"
2,"Acatlán de Juárez"
3,"Ahualulco de Mercado"
4,"Amacueca"
5,"Amatitán"
6,"Ameca"
7,"San Juanito de Escobedo"
8,"Arandas"
9,"El Arenal"
10,"Atemajac de Brizuela"
11,"Atengo"
12,"Atenguillo"
13,"Atotonilco el Alto"
14,"Atoyac"
15,"Autlán de Navarro"
16,"Ayotlán"
17,"Ayutla"
18,"La Barca"
19,"Bolaños"
20,"Cabo Corrientes"
21,"Casimiro Castillo"
22,"Cihuatlán"
23,"Zapotlán el Grande"
24,"Cocula"
25,"Colotlán"
26,"Concepción de Buenos Aires"
27,"Cuautitlán de García Barragán"
28,"Cuautla"
29,"Cuquío"
30,"Chapala"
31,"Chimaltitán"
32,"Chiquilistlán"
33,"Degollado"
34,"Ejutla"
35,"Encarnación de Díaz"
36,"Etzatlán"
37,"El Grullo"
38,"Guachinango"
39,"Guadalajara"
40,"Hostotipaquillo"
41,"Huejúcar"
42,"Huejuquilla el Alto"
43,"La Huerta"
44,"Ixtlahuacán de los Membrillos"
45,"Ixtlahuacán del Río"
46,"Jalostotitlán"
47,"Jamay"
48,"Jesús María"
49,"Jilotlán de los Dolores"
50,"Jocotepec"
51,"Juanacatlán"
52,"Juchitlán"
53,"Lagos de Moreno"
54,"El Limón"
55,"Magdalena"
56,"Santa María del Oro"
57,"La Manzanilla de la Paz"
58,"Mascota"
59,"Mazamitla"
60,"Mexticacán"
61,"Mezquitic"
62,"Mixtlán"
63,"Ocotlán"
64,"Ojuelos de Jalisco"
65,"Pihuamo"
66,"Poncitlán"
67,"Puerto Vallarta"
68,"Villa Purificación"
69,"Quitupan"
70,"El Salto"
71,"San Cristóbal de la Barranca"
72,"San Diego de Alejandría"
73,"San Juan de los Lagos"
74,"San Julián"
75,"San Marcos"
76,"San Martín de Bolaños"
77,"San Martín Hidalgo"
78,"San Miguel el Alto"
79,"Gómez Farías"
80,"San Sebastián del Oeste"
81,"Santa María de los Ángeles"
82,"Sayula"
83,"Tala"
84,"Talpa de Allende"
85,"Tamazula de Gordiano"
86,"Tapalpa"
87,"Tecalitlán"
88,"Tecolotlán"
89,"Techaluta de Montenegro"
90,"Tenamaxtlán"
91,"Teocaltiche"
92,"Teocuitatlán de Corona"
93,"Tepatitlán de Morelos"
94,"Tequila"
95,"Teuchitlán"
96,"Tizapán el Alto"
97,"Tlajomulco de Zúñiga"
98,"San Pedro Tlaquepaque"
99,"Tolimán"
100,"Tomatlán"
101,"Tonalá"
102,"Tonaya"
103,"Tonila"
104,"Totatiche"
105,"Tototlán"
106,"Tuxcacuesco"
107,"Tuxcueca"
108,"Tuxpan"
109,"Unión de San Antonio"
110,"Unión de Tula"
111,"Valle de Guadalupe"
112,"Valle de Juárez"
113,"San Gabriel"
114,"Villa Corona"
115,"Villa Guerrero"
116,"Villa Hidalgo"
117,"Cañadas de Obregón"
118,"Yahualica de González Gallo"
119,"Zacoalco de Torres"
120,"Zapopan"
121,"Zapotiltic"
122,"Zapotitlán de Vadillo"
123,"Zapotlán del Rey"
124,"Zapotlanejo"
125,"San Ignacio Cerro Gordo"
